user_id,signup_date,last_order_date,total_orders,total_spend,favorite_cuisine,last_platform_used,days_since_last_order,last_order_value,customer_lifetime_value,number_of_orders,number_of_users_referred
451b4cf3-6123-4df7-b656-af7229d4beef,2025-03-10,2024-11-19,12,483.34,Indian,iOS,309,38.95,725.01,12,0
3838b326-8e94-4239-b02b-61c4a3d70628,2025-09-16,2025-01-03,24,1121.56,Indian,iOS,264,47.82,1682.34,24,0
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,2025-02-05,2024-12-22,21,1051.5,Indian,iOS,276,46.08,1577.25,21,0
66b2bc5b-50c1-47fc-8e17-7b4e0837b8a3,2022-06-02,2025-06-12,58,2976.68,Arabic,Android,104,54.08,4465.02,58,0
9132b63e-f162-47e4-a9c3-49e03602f8ac,2024-04-07,2024-11-12,15,745.23,Indian,Android,316,54.88,1367.85,15,1
7fcd9eb1-a7ca-4415-b66e-b16f508ebad7,2025-06-25,2025-04-27,43,2809.67,Indian,iOS,150,54.63,4214.51,43,0
24933b83-7577-40a9-a491-f0b2ea1fca65,2024-07-09,2025-03-08,38,2824.71,Pizza,Android,200,66.02,4237.06,38,0
89fa6a68-8fb5-427b-beb7-99193f22faf8,2024-04-05,2024-11-26,16,751.59,Indian,Android,302,44.85,1377.39,16,1
956269f0-e5d7-4875-adad-d6c795a76d79,2022-07-09,2025-05-25,54,4697.34,Arabic,Web,122,78.57,7546.01,54,2
2369b584-ff5e-4ff0-bf50-bde4382567b8,2025-07-31,2024-09-25,1,37.26,Pizza,iOS,364,43.17,55.88,1,0
dc713d96-0c0f-4195-817a-f08a1745d6d8,2024-10-01,2025-01-19,28,1933.07,Indian,Android,248,79.73,3149.61,28,1
ae340454-cac5-468c-a8f4-9481a0a04dc4,2022-12-13,2025-09-21,249,33073.99,Asian,Web,3,138.48,51860.98,249,9
988c24c9-61b1-4d22-a280-1c4510435a10,2022-12-30,2024-12-28,22,1241.51,Healthy,iOS,270,60.76,2112.27,22,1
8da0365b-f898-47b9-805c-acec877409a9,2024-09-19,2025-03-21,37,2580.96,Italian,Android,187,66.03,3871.44,37,0
1d53434b-b881-49b9-ae27-0da702f06b90,2025-06-14,2024-12-09,21,1267.4,Asian,Web,289,54.33,2151.11,21,1
c4c2e2e3-444e-47c8-8039-87108976e334,2025-08-25,2024-10-07,8,391.47,Italian,iOS,352,48.99,587.21,8,0
287d06ca-6f4c-469a-8b22-d3081c8eaee9,2025-01-05,2025-01-31,28,1760.64,Burgers,iOS,236,51.4,2890.97,28,1
b83cfe0b-e037-45ed-b8db-0672f42d47cc,2024-08-21,2024-11-22,15,822.1,Asian,Web,306,64.2,1233.14,15,0
81f76d1c-2dbc-4134-830f-f46e8026695f,2022-07-09,2025-08-23,67,4169.27,Arabic,Android,32,56.46,6253.9,67,0
d777a477-4c66-40a8-a013-ac6ededa4e16,2024-06-20,2025-07-17,62,5406.44,Asian,iOS,69,77.05,8109.66,62,0
5fb8d16c-2720-497d-b2eb-d6899be578c7,2025-01-03,2024-10-28,11,581.92,Italian,iOS,331,45.21,1122.88,11,1
ec24a3c5-c754-408f-b418-8f3f8a14be62,2024-01-07,2025-05-28,54,4572.88,Burgers,Android,119,85.07,7359.31,54,2
7d154385-52fb-443b-9954-6eb400257ad1,2025-08-12,2024-10-20,8,335.23,Burgers,Android,339,48.38,502.84,8,0
fc3e058b-e0f3-4ab0-9cec-4eb5edd96831,2023-10-09,2025-02-05,31,1646.91,Arabic,Android,231,63.37,2470.36,31,0
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,2025-05-24,2024-12-01,15,781.96,Healthy,iOS,297,48.52,1172.94,15,0
bb5e4bcf-15ed-4269-9429-6c07f26b4776,2024-05-13,2024-10-22,10,520.67,Burgers,iOS,337,52.91,1031.01,10,1
885f6e66-c2b6-42c5-ba5d-310011b7e948,2023-03-10,2025-02-16,34,1755.85,Italian,iOS,220,50.27,2633.78,34,0
f264accc-79ac-4b1e-a8e5-6e0c20de435d,2025-04-06,2025-02-06,32,1828.24,Indian,iOS,230,47.04,2992.36,32,1
9b49bd26-df57-459a-8715-a10343dac043,2024-10-30,2025-03-07,34,2257.87,Italian,iOS,201,78.49,3386.8,34,0
c1590f53-8a0f-4efb-adcd-465e36386821,2022-12-31,2025-02-08,30,1927.17,Burgers,iOS,228,51.76,3140.75,30,1
66245bfa-4fcc-439a-b683-d2e6337ea2df,2024-03-10,2025-08-29,287,42579.56,Arabic,iOS,26,146.83,65369.34,287,6
e64d1bcb-7027-43a1-9f98-7c71a65e688e,2025-09-22,2024-09-08,1,43.94,Healthy,Android,381,36.0,65.91,1,0
1064005c-3985-43cf-bf76-be1d1efa2197,2024-10-06,2024-12-24,19,1235.65,Healthy,iOS,274,74.31,1853.48,19,0
96a402f2-3ae8-4c93-8dcd-cd03969b6662,2023-05-29,2025-08-28,296,43079.88,Burgers,Android,27,150.53,65869.82,296,5
0f1259e0-a18f-46b6-b535-106e122c9a56,2024-03-03,2025-04-20,42,2449.86,Indian,Web,157,68.63,3674.8,42,0
5496f63c-dc11-40c1-880a-adfbe7c99b26,2022-06-02,2025-04-24,48,2926.01,Pizza,Android,153,57.97,4389.01,48,0
7c441fe7-ab42-40a7-874a-493b3ceddf2d,2023-11-15,2025-03-17,35,1846.57,Pizza,iOS,191,42.7,3019.85,35,1
e1e3db63-ef7d-4c76-b92d-a22b21df306f,2023-02-28,2025-09-20,294,28772.88,Indian,Android,4,112.64,44159.32,294,4
7914c120-c8dc-419f-be35-11287900f7f9,2024-11-14,2024-12-26,19,1081.84,Burgers,iOS,272,58.67,1622.76,19,0
a8b317fa-18d0-452b-9825-bc5430beb45f,2024-02-26,2025-01-20,28,2371.17,Healthy,Android,247,75.83,3806.76,28,1
dd2467ac-778e-4db3-a93d-ffbc6c6fa611,2024-08-04,2025-03-17,39,2967.98,Healthy,Android,191,86.04,4451.97,39,0
a56c0941-fbf2-4050-a748-dbcfac619e63,2025-03-10,2024-12-11,21,1645.17,Asian,Android,287,73.79,2717.76,21,1
ccf3a171-56dc-4907-ba6c-34ab6712303a,2025-07-05,2024-09-10,2,97.91,Burgers,Android,379,44.91,146.87,2,0
894a05e4-30b1-47ef-b10c-0c003fa7f104,2024-04-25,2025-01-12,27,2193.8,Italian,Web,255,95.26,3290.7,27,0
766ecb15-474e-4c19-aef9-12766c006f61,2023-08-18,2025-09-09,212,29895.46,Burgers,Android,15,152.63,45843.19,212,4
ceda8bbb-7171-4434-934c-6c92ec5b227c,2022-06-25,2024-12-29,21,1134.94,Indian,Android,269,58.39,1702.41,21,0
a6f2f7b8-0cf3-4b58-9910-8be58ce21ea3,2024-04-25,2024-10-27,9,634.8,Indian,Android,332,72.83,952.2,9,0
17e011b7-f810-4383-83c7-2ba8d605e770,2025-09-23,2024-11-25,16,1271.04,Healthy,iOS,303,75.51,2156.56,16,1
680ac07a-2a93-4d62-bc83-5dc0d9441fa5,2024-07-05,2024-12-21,23,1252.3,Asian,iOS,277,43.81,1878.45,23,0
e7067ef4-66aa-4385-9d59-ba7136b82481,2023-09-14,2025-09-11,110,14940.56,Burgers,Web,13,149.19,24410.83,110,8
63f2ae24-fc3d-4348-808d-4127610461e3,2023-11-06,2025-03-02,34,2541.29,Healthy,Web,206,88.59,3811.94,34,0
490617f2-747b-4dba-88fe-3ccdc8b8d9c6,2023-04-06,2025-09-19,198,14547.47,Burgers,Android,5,87.96,23321.2,198,6
c88a618e-fed4-457d-bb02-6576f512c4c3,2022-12-31,2025-01-12,22,1246.27,Healthy,Android,255,51.99,1869.4,22,0
309d258c-27a0-43d7-bc96-7f79b7e99aca,2024-11-03,2025-02-24,32,1338.17,Asian,iOS,212,49.35,2007.26,32,0
bc594585-9445-48c0-8ef8-c2d6f7fd5646,2025-07-22,2024-10-07,8,280.72,Arabic,iOS,352,33.52,421.08,8,0
0cd620c2-0ea2-422b-9048-67babf7b539b,2024-10-24,2025-05-07,45,3575.18,Healthy,Android,140,80.6,5612.77,45,1
87f7e1fb-da4b-49ca-ab5c-f46780bacd64,2025-08-17,2024-10-01,5,169.98,Healthy,Android,358,39.99,254.97,5,0
d9f195d0-1482-4f53-8201-0c62f5f59b22,2024-01-17,2025-04-07,39,2911.06,Asian,Android,170,60.5,4366.59,39,0
dca02eec-acda-4acc-9165-e21098543881,2022-04-15,2025-05-21,53,3448.69,Pizza,Android,126,62.28,5423.03,53,1
91d63f78-e3e9-4e99-b10c-718b1eb0e38a,2023-03-15,2025-09-01,154,15890.58,Asian,Android,23,83.11,24335.86,154,2
14fcdd54-9e8f-4965-8a2c-827e98326856,2025-07-18,2024-10-15,5,299.5,Arabic,Android,344,66.34,449.24,5,0
50fd9d3f-85d5-4695-90b2-b633956b8c0c,2024-07-27,2025-01-14,23,1108.64,Asian,Android,253,43.86,1662.96,23,0
506e5a9a-b758-488d-ab73-295b344a54b8,2024-07-14,2025-04-01,38,2444.41,Asian,Android,176,68.74,3666.61,38,0
a53f8a28-abf3-43fc-a181-3d25655238a6,2025-07-17,2024-09-18,4,217.97,Indian,Android,371,45.52,576.95,4,1
ef8c485b-c07a-40f2-add4-253b50f0fd0a,2025-07-22,2024-10-11,7,368.58,Italian,iOS,348,56.95,552.87,7,0
902059e4-ff9a-45c2-9f04-4aed75523327,2022-11-16,2025-08-28,87,10322.29,Pizza,Web,27,113.53,16233.44,87,3
8181a8cc-3691-47eb-89a2-688b12c136e0,2025-09-21,2025-05-08,47,2727.71,Pizza,Android,139,53.35,4591.57,47,2
119c4ea3-e180-4081-9958-a499eeea163e,2022-07-11,2024-11-10,14,1218.89,Healthy,Web,318,78.64,1828.33,14,0
702cdd20-2862-48b8-88f4-ef125e9953d2,2025-09-12,2024-10-05,5,181.37,Indian,iOS,354,33.98,272.05,5,0
fbddcf7c-9c96-49ec-8d71-c366b41b3143,2025-09-08,2024-09-16,3,102.49,Indian,Android,373,29.82,153.74,3,0
aaf91531-0200-41f0-8768-a84fa76afde6,2025-09-22,2024-09-29,5,295.97,Healthy,iOS,360,52.65,443.95,5,0
1a84a51a-a9d3-47c7-ae87-905e4ca415ea,2025-05-13,2025-02-01,31,1349.99,Asian,iOS,235,42.86,2024.99,31,0
e3c43657-1d8c-4bac-83b4-09ef2260e70f,2025-09-17,2024-09-28,5,198.24,Italian,Android,361,39.35,297.36,5,0
48212ddb-45b8-4cd9-a7cb-6f2a8da01097,2023-12-11,2025-01-04,26,1327.95,Burgers,iOS,263,56.15,2241.93,26,1
afffcfd2-341e-440b-97c7-00aab7b56ea7,2024-12-09,2025-02-25,31,1532.78,Healthy,iOS,211,50.06,2549.18,31,1
40497b71-7d10-4c60-8162-7cf1439472e6,2023-12-31,2025-09-13,164,20839.15,Italian,iOS,11,144.57,33258.72,164,8
a2607723-17a0-4f49-8d01-280fd89a40c0,2024-06-12,2025-04-18,42,2994.8,Burgers,iOS,159,64.72,4492.2,42,0
5563f616-00e8-4ece-8b49-452d46d483f3,2024-07-30,2025-05-10,48,2091.27,Burgers,iOS,137,38.92,3136.91,48,0
295d6fbf-430f-401d-bad4-09e2a319dcb4,2025-04-10,2025-01-30,27,1173.87,Indian,Android,237,44.99,1760.81,27,0
8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,2025-03-19,2025-04-19,46,2508.07,Pizza,Web,158,56.07,4012.11,46,1
b0e6a969-e213-42b0-b1ee-dba313432e61,2025-06-27,2024-09-14,1,30.23,Burgers,Android,375,28.6,45.34,1,0
5e84f058-d5a8-44eb-8939-23de8babce3b,2024-07-15,2025-09-21,143,11993.39,Pizza,iOS,3,95.35,19990.09,143,8
0ab54bde-20a0-4502-ae06-809725e97977,2025-08-17,2024-10-31,8,266.89,Italian,Android,328,39.63,400.33,8,0
f8e1daa7-cbce-4bde-aede-db07e623a689,2024-05-06,2025-05-10,47,3137.05,Arabic,iOS,137,68.26,5205.57,47,2
ae9bec36-35c7-436c-9b99-62c6e61fecc0,2024-04-24,2025-02-05,30,1888.42,Burgers,iOS,231,63.14,2832.62,30,0
8f5486b7-c7b5-42bc-9a8a-aeca1a50aec3,2025-07-18,2024-10-22,8,260.95,Pizza,Android,337,38.26,391.42,8,0
bfddc3d9-9ee3-4c2a-b94d-62046808593f,2025-07-01,2024-12-21,19,1176.94,Arabic,iOS,277,54.55,1765.41,19,0
2999b735-dd56-4c94-bc9a-d14cee0caeb5,2023-01-15,2025-09-18,122,15959.82,Italian,Android,6,129.41,24939.74,122,4
698c206f-e1a4-4e10-ad53-4dd0cf8ebc5a,2024-09-06,2025-09-03,118,16101.05,Pizza,Web,21,131.46,25401.57,118,5
c84a7b28-550a-4b46-acab-3301bc8f7d29,2023-10-12,2025-04-04,44,3390.55,Pizza,Android,173,63.13,5335.83,44,1
bc2cbb0d-dd33-4cc7-ab7f-089acd5f4822,2025-08-04,2025-03-25,39,2847.21,Arabic,Web,183,65.29,4270.81,39,0
b386f7a4-c991-403f-a8c1-3091444d610b,2025-05-09,2025-02-23,34,2288.86,Healthy,iOS,213,73.08,3433.28,34,0
787f2425-dbcc-4477-89e9-db0adf465290,2022-01-20,2024-12-27,19,1388.89,Asian,iOS,271,69.93,2083.33,19,0
598336e3-75d6-4ed4-ab1f-a9f2d10bd1d0,2024-03-05,2025-05-15,48,2144.44,Arabic,iOS,132,46.96,3716.67,48,2
39118497-3a43-42ba-9f0f-06cbcb9bc326,2022-08-24,2025-02-08,33,2303.96,Asian,Android,228,71.86,3705.94,33,1
475287aa-5408-49ac-a601-ddd03170f437,2021-10-20,2025-02-17,31,2472.49,Healthy,Android,219,81.99,3708.74,31,0
59e4b671-4774-4c58-85f8-bc16f7860b50,2025-06-17,2025-04-28,47,2888.58,Italian,Android,149,60.4,4332.88,47,0
d7fa2d8d-fb2c-4025-adf4-e62d6651529e,2024-01-06,2025-09-05,96,9860.78,Pizza,Android,19,111.76,16291.16,96,6
e08596db-1d87-4966-8710-d430f071d879,2023-05-04,2025-02-21,31,1978.66,Asian,iOS,215,74.26,2967.99,31,0
fbc9f87a-f668-4617-94a1-875d2db69edb,2025-09-20,2024-10-07,6,290.69,Indian,iOS,352,41.45,686.04,6,1
587ef344-6f3f-420c-98b8-e4cc1bc044fc,2022-07-12,2025-04-24,47,4102.38,Healthy,Android,153,94.15,6403.57,47,1
fbf6e16f-9b30-40d5-afb7-8271504d281f,2025-03-09,2025-03-15,37,2034.16,Indian,Web,193,45.68,3051.25,37,0
30a900ad-939b-462d-a645-f129629c2ae3,2025-08-10,2024-10-02,6,222.46,Indian,iOS,357,32.43,333.69,6,0
85197ff4-006e-46e3-afa1-7735b572f3d0,2024-03-28,2025-01-03,24,1343.04,Indian,iOS,264,52.27,2014.56,24,0
f0b5156b-b82c-4074-afd5-dea589d7fd6c,2025-07-31,2025-02-15,34,2534.38,Arabic,Web,221,73.52,4301.58,34,2
6e6981a3-5d3d-4e56-b270-e4faabae4f43,2025-08-31,2024-10-03,3,130.72,Burgers,iOS,356,37.93,196.08,3,0
9f871ce7-5487-4d4f-abb7-a385aa0b7b14,2021-12-09,2025-05-30,53,4304.65,Healthy,Android,117,72.13,6456.98,53,0
e6697833-b841-40a0-9fe7-71d6d9178793,2022-09-03,2025-06-09,53,3831.49,Indian,iOS,107,73.31,6247.23,53,2
5380b904-688c-4015-aab9-7e494f2d4796,2024-05-01,2025-03-09,39,2729.94,Healthy,Android,199,81.14,4094.91,39,0
311c6eb6-2095-4ef6-8ded-f9fb4bb00f20,2024-07-14,2025-01-13,25,1564.84,Arabic,Android,254,69.49,2347.26,25,0
bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,2024-07-27,2025-03-10,39,2433.04,Italian,Web,198,54.45,3649.56,39,0
67f48ad5-4d0b-4d1a-91b0-e1d99d9262af,2025-07-15,2024-12-06,19,1442.05,Burgers,Android,292,85.03,2163.07,19,0
35ce8841-4973-4d6c-8dca-bfb7001a9a8b,2023-05-17,2024-10-28,12,613.01,Italian,iOS,331,45.59,919.51,12,0
527eecfa-a79a-49aa-9b4e-2c249479e1e6,2023-08-04,2025-09-09,288,33279.98,Arabic,Android,15,122.62,50919.97,288,4
82dc4c8e-36b5-429a-acf5-e81e71316269,2023-02-15,2025-03-19,36,3032.2,Asian,iOS,189,80.76,5048.3,36,2
bc67f831-cbc8-4759-b5b7-8cc7e6b3c944,2024-09-04,2025-01-19,27,1094.04,Healthy,Android,248,35.79,1641.06,27,0
a9f25336-83f4-49a9-88a6-39d015b52908,2025-07-11,2024-09-25,2,113.56,Italian,iOS,364,53.19,170.34,2,0
f3b63fe1-d184-4324-97e8-392a55cee5db,2025-08-21,2024-10-06,4,219.68,Arabic,Android,353,60.94,329.52,4,0
ce7ae7f6-3982-4cff-8f77-a665ac3c5640,2025-03-26,2025-01-31,31,2206.9,Asian,iOS,236,73.06,3310.35,31,0
fbe33b24-3eae-4032-8bd4-a9900640be0f,2024-02-17,2025-01-26,26,1319.42,Indian,iOS,241,53.46,1979.14,26,0
74962764-12a4-4ef0-84bb-b7a9d98868dd,2023-02-26,2024-10-30,8,442.33,Pizza,Android,329,59.52,1163.49,8,2
b7e58481-31c6-41ec-935f-2b0aa1384ddc,2025-08-02,2024-09-10,2,94.59,Asian,Android,379,48.32,141.89,2,0
25c73c44-3e75-43b4-a64f-a6637e8f8095,2025-02-14,2025-02-19,31,1409.74,Arabic,Android,217,52.28,2614.61,31,2
dc45d539-c03f-4538-a485-5aa1016b6287,2025-08-23,2024-09-30,7,330.39,Arabic,iOS,359,45.39,495.59,7,0
3805f907-6cd6-4193-8746-8f591b494e15,2025-04-09,2024-10-24,10,433.12,Pizza,iOS,335,38.9,899.68,10,1
76ecbdd6-8498-4113-b227-462cf53d4330,2024-01-31,2025-04-29,48,3091.98,Asian,iOS,148,61.75,5137.97,48,2
1f115b76-d92c-4227-aadf-50853fcb7546,2025-06-30,2024-09-24,2,61.87,Indian,iOS,365,32.11,92.81,2,0
87f8424d-aae6-4fc1-b6f2-dbfecd29a36f,2025-08-05,2024-09-27,2,97.4,Indian,iOS,362,45.67,146.1,2,0
c1581092-f335-4ba3-913a-7052986f9025,2024-09-10,2025-05-01,46,3145.81,Burgers,Web,146,56.84,4718.72,46,0
e45b712e-b822-4688-90a4-44329cd6c852,2024-07-06,2025-07-10,61,6031.55,Healthy,Android,76,111.04,10297.33,61,5
722764e6-8c41-461b-a827-a1b9d4a02e53,2025-08-10,2024-09-22,1,35.55,Italian,Android,367,40.86,53.33,1,0
7337c599-7984-4388-9c8a-ee30be6033f7,2025-09-14,2024-10-13,6,294.7,Italian,Android,346,57.04,692.05,6,1
46fde062-a33d-47af-9701-410d3f4b1a70,2023-04-01,2025-09-07,75,5486.56,Italian,Android,17,75.74,8979.84,75,3
3d3f3799-a072-45e9-bc0e-8cd88573e793,2025-09-02,2024-10-14,7,217.13,Arabic,iOS,345,28.5,325.69,7,0
3c07c574-4925-4af1-b6aa-e05b13d5f2f7,2022-07-22,2025-04-14,43,2932.85,Italian,iOS,163,72.15,4649.27,43,1
14a0bccb-8a47-4a87-a49d-681d51d87c64,2025-07-20,2024-09-27,5,161.54,Italian,iOS,362,30.24,242.31,5,0
271e3ee2-b1a6-41f1-a20e-99d33b33f3d8,2024-01-03,2024-11-13,13,931.18,Healthy,Android,315,75.24,1396.76,13,0
54b4a482-6858-4eba-aa34-c85410714d51,2025-02-21,2025-04-20,44,3291.37,Arabic,Web,157,86.02,4937.06,44,0
d5385b0e-34f3-493c-8ff0-a55c6a702e2f,2023-05-11,2025-03-29,43,2166.31,Healthy,iOS,179,42.09,3249.47,43,0
f2311f17-9586-4a76-8511-55ffe7a37e81,2025-08-02,2024-10-08,4,238.09,Burgers,Android,351,57.56,357.14,4,0
9360715f-c3fe-4183-a172-b725db52ca58,2025-02-13,2024-11-06,12,704.31,Asian,Android,322,66.98,1056.46,12,0
4c71e0fe-5a0c-4d7c-b157-8470018267c4,2024-06-28,2025-01-11,24,1370.66,Pizza,Web,256,61.21,2055.99,24,0
d5f25073-f414-42b1-a442-9ebbda7b9095,2023-12-28,2025-04-24,47,3456.48,Pizza,Web,153,84.84,5934.72,47,3
ccc42903-8bcf-43a1-bc10-fa52bf5d2fdf,2022-12-27,2025-06-10,56,2945.57,Healthy,Android,106,59.71,4418.35,56,0
45df16b6-382c-443f-bcfc-9b793875394c,2023-12-09,2025-08-29,156,13123.07,Pizza,Android,26,68.53,20434.6,156,3
ab3b4d37-560c-45ee-a38c-254c076e2bba,2023-01-14,2025-06-16,58,5148.32,Indian,iOS,100,103.95,8222.48,58,2
d72b6108-2a40-4f12-b963-f37f67814c1f,2025-02-01,2025-02-01,27,1831.7,Healthy,iOS,235,76.41,2747.55,27,0
88bc539c-9f4c-4b79-bb10-987f20ac3703,2025-08-06,2024-09-06,1,56.85,Pizza,iOS,383,55.88,335.27,1,1
a9ba5a27-907b-4e36-9786-48f864de82e6,2025-06-28,2024-10-02,3,176.01,Indian,Android,357,65.93,514.01,3,1
dde9f863-22bd-4388-adb9-9102a48b3dbe,2022-10-14,2025-09-19,265,23906.16,Arabic,Android,5,81.54,37609.24,265,7
53cd6268-610c-4373-8299-9aa40cdf742b,2023-02-12,2025-06-04,52,4021.18,Healthy,iOS,112,88.19,6031.77,52,0
e1301617-c2df-4335-9666-6f9f53ac2ab9,2025-07-15,2024-09-22,2,94.28,Healthy,Android,367,47.97,141.42,2,0
6bebac31-d4f8-4d72-b382-1cfdc083b73a,2025-07-30,2024-10-26,8,398.03,Healthy,Android,333,57.06,847.04,8,1
bfc00dc8-04f6-4d86-b866-076514f7ce8d,2025-07-18,2024-09-30,2,66.35,Pizza,Web,359,29.05,99.53,2,0
39669fa7-5997-4043-b3b1-025bfff9f585,2025-08-13,2024-09-30,7,383.42,Italian,iOS,359,51.16,575.13,7,0
0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,2023-09-06,2024-11-27,16,804.09,Indian,Android,301,52.61,1206.13,16,0
d6d7b3b8-3309-4d35-bf4d-f561f319c125,2025-03-28,2025-03-02,33,2400.66,Arabic,iOS,206,66.44,3600.99,33,0
793b4c32-2050-4494-bd11-48022702878b,2021-10-16,2025-02-28,32,2409.76,Burgers,Android,208,63.33,4114.63,32,2
770c7798-37cc-463b-b2a0-345990604f62,2024-01-26,2025-09-14,268,22327.14,Asian,iOS,10,68.89,34740.7,268,5
9b1bc895-2af4-4ab7-9e6f-ea07c4536f1d,2025-08-27,2024-09-28,3,166.72,Burgers,Android,361,59.49,500.08,3,1
c71d5e60-1d52-46ab-b7e6-427cbf780e3f,2025-08-19,2024-09-30,4,122.95,Pizza,iOS,359,28.57,184.43,4,0
9424aed5-1bac-4c15-8fa0-3f26f6f7f0cc,2024-05-15,2025-09-21,275,25269.79,Healthy,Android,3,108.22,39404.68,275,6
e87466d7-ad66-41bd-9367-6a024fdc6e1b,2025-06-28,2024-10-06,5,254.05,Burgers,Android,353,42.32,381.08,5,0
32c5bd89-b70b-4420-b104-3785658b2523,2025-08-24,2025-01-18,26,2041.77,Healthy,Android,249,85.79,3062.65,26,0
3e2b6091-a092-452a-94a0-57a7b0cc1b3b,2023-11-19,2024-11-19,14,1111.03,Arabic,iOS,309,91.87,1666.54,14,0
af2b99b4-d9ac-4158-8d34-85c5c5c14eb4,2022-12-08,2025-09-08,74,9412.35,Pizza,Web,16,145.73,14868.53,74,3
90e0f4a0-fbdd-4933-8bd5-8bf61efd76e9,2024-12-06,2025-01-15,26,1134.81,Burgers,iOS,252,42.84,1702.22,26,0
a9597663-6daa-4e68-8861-fe1858e25888,2024-01-29,2025-05-09,48,2462.45,Italian,iOS,138,53.69,4193.68,48,2
033d2bce-575a-4d2c-a5c5-650c8186a576,2023-06-22,2025-08-15,66,7826.58,Indian,iOS,40,115.28,12989.87,66,5
6efb63b1-1b04-4863-bd7d-dbedd284476c,2025-09-09,2024-10-07,5,190.35,Indian,iOS,352,35.18,285.52,5,0
75b17a55-d426-4982-a43e-4288a2b5b498,2024-08-26,2025-09-13,113,11485.73,Healthy,Android,11,105.71,19228.59,113,8
859131d2-bbda-4242-ad17-4fc96f7c15ea,2023-11-08,2025-04-21,45,2321.31,Burgers,Web,156,43.43,3481.97,45,0
eb6c1016-cee6-44d0-9dac-6e8345241ea6,2024-08-29,2025-09-14,129,14007.92,Arabic,iOS,10,117.38,22261.88,129,5
d36357b6-6f81-4f4f-b701-f7bb7bc67e1f,2025-08-13,2024-09-04,1,56.48,Asian,iOS,385,63.81,84.71,1,0
3ed8c56c-da09-4fa0-9282-8d8044b591f7,2023-12-04,2025-05-21,50,3886.39,Indian,Web,126,63.46,6329.58,50,2
7367c28d-e1b2-44de-8767-d76c162f8a24,2024-05-23,2025-09-15,172,12474.63,Arabic,Web,9,75.91,20461.94,172,7
ab0e664e-9c3e-42d5-91e1-aa9676f72255,2022-06-18,2025-08-10,66,5368.24,Burgers,Android,45,80.83,8302.35,66,1
